batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs
1,1,32,128,65536,0.00390625,10.2,10.4,0.98,"[(2, 64, -1, 10), (8, 64, 808, 11), (8, 64, 824, 11), (8, 64, 696, 11), (8, 64, 800, 11), (8, 64, 816, 11), (8, 128, 320, 11), (8, 128, 288, 11), (8, 128, 472, 11), (8, 128, 512, 11)]"
1,2,32,128,65536,0.00390625,14.5,14.9,0.97,"[(2, 64, -1, 14), (8, 256, 144, 15), (8, 256, 232, 15), (8, 256, 176, 15), (8, 128, 232, 15), (4, 64, 416, 15), (4, 64, 760, 15), (8, 256, 256, 15), (4, 64, 984, 16), (8, 128, 144, 16)]"
9,1,32,128,65536,0.00390625,62.3,33.1,1.884,"[(8, 128, 64, 33), (4, 128, 64, 34), (8, 64, 56, 37), (4, 64, 96, 38), (4, 64, 56, 38), (4, 64, 152, 39), (4, 64, 168, 39), (4, 64, 160, 39), (2, 128, 64, 40), (2, 64, -1, 40)]"
9,2,32,128,65536,0.00390625,137.4,59.8,2.297,"[(8, 128, 24, 59), (4, 64, 120, 60), (4, 128, 24, 61), (4, 64, 144, 61), (4, 64, 128, 62), (2, 64, 144, 62), (4, 64, 328, 63), (2, 64, 136, 63), (4, 64, 136, 64), (4, 64, 336, 64)]"
17,1,32,128,65536,0.00390625,131.6,51.4,2.561,"[(8, 128, 64, 51), (4, 128, 64, 55), (4, 64, 104, 55), (4, 64, 160, 56), (4, 64, 152, 56), (4, 64, 168, 56), (4, 64, 112, 57), (8, 64, 112, 58), (8, 64, 104, 58), (8, 64, 168, 59)]"
17,2,32,128,65536,0.00390625,238.0,99.5,2.392,"[(4, 64, 72, 99), (2, 64, 72, 101), (8, 64, 72, 103), (4, 64, 80, 104), (8, 64, 24, 105), (8, 128, 24, 106), (4, 64, 24, 106), (4, 128, 56, 106), (8, 64, 80, 106), (2, 64, 24, 108)]"
25,1,32,128,65536,0.00390625,170.7,74.1,2.304,"[(8, 128, 64, 74), (4, 64, 152, 76), (4, 64, 160, 76), (4, 64, 168, 77), (4, 128, 64, 79), (2, 64, 152, 81), (2, 64, 160, 82), (2, 64, 168, 82), (8, 64, 152, 82), (8, 64, 160, 82)]"
25,2,32,128,65536,0.00390625,305.6,137.5,2.223,"[(8, 128, 24, 137), (4, 128, 24, 137), (4, 64, 72, 147), (2, 64, 72, 149), (4, 64, 80, 152), (8, 64, 72, 153), (8, 64, 80, 155), (4, 64, 120, 155), (4, 64, 128, 156), (2, 64, 128, 157)]"
33,1,32,128,65536,0.00390625,228.3,87.1,2.621,"[(8, 128, 64, 87), (4, 64, 168, 90), (4, 64, 152, 90), (4, 64, 160, 90), (4, 128, 64, 94), (2, 64, 168, 96), (8, 64, 160, 97), (2, 64, 160, 98), (8, 64, 168, 98), (8, 64, 152, 98)]"
33,2,32,128,65536,0.00390625,435.1,201.7,2.158,"[(4, 128, 8, 201), (2, 64, 72, 201), (4, 128, 24, 202), (8, 64, 8, 203), (8, 128, 24, 203), (8, 128, 8, 203), (4, 64, 72, 203), (8, 64, 72, 208), (8, 64, -1, 209), (4, 64, -1, 209)]"
41,1,32,128,65536,0.00390625,245.9,98.5,2.497,"[(8, 128, 64, 98), (4, 128, 64, 107), (4, 64, 56, 114), (4, 64, 168, 114), (4, 64, 152, 114), (8, 64, 56, 116), (4, 64, 160, 116), (2, 64, 152, 118), (2, 64, 160, 118), (2, 64, 168, 119)]"
41,2,32,128,65536,0.00390625,482.7,223.4,2.161,"[(8, 128, 24, 223), (4, 128, 24, 227), (4, 64, 24, 235), (2, 64, 24, 236), (8, 64, 24, 239), (2, 64, 72, 247), (2, 64, 80, 250), (4, 64, 120, 251), (4, 64, 128, 251), (4, 64, 80, 252)]"
49,1,32,128,65536,0.00390625,299.6,124.2,2.413,"[(8, 128, 64, 124), (4, 128, 64, 132), (8, 64, 56, 140), (4, 64, 56, 141), (8, 128, 56, 141), (4, 64, 152, 143), (4, 64, 160, 143), (8, 128, 48, 144), (4, 64, 168, 144), (2, 64, 160, 145)]"
49,2,32,128,65536,0.00390625,563.7,255.0,2.211,"[(8, 128, 24, 255), (4, 128, 24, 256), (2, 64, 24, 284), (4, 64, 24, 292), (8, 128, 32, 292), (8, 64, 24, 295), (4, 128, 32, 297), (4, 64, 128, 301), (4, 64, 120, 301), (8, 256, 24, 302)]"
57,1,32,128,65536,0.00390625,320.1,141.3,2.266,"[(4, 64, 56, 141), (8, 64, 56, 141), (8, 128, 64, 146), (8, 128, 56, 153), (4, 128, 64, 155), (2, 64, 56, 158), (2, 64, 64, 162), (4, 64, 64, 162), (2, 64, 16, 163), (4, 128, 56, 163)]"
57,2,32,128,65536,0.00390625,613.0,297.3,2.062,"[(4, 128, -1, 297), (8, 128, 40, 304), (8, 128, -1, 305), (4, 64, 40, 312), (8, 128, 32, 312), (2, 64, 40, 313), (4, 128, 40, 316), (8, 64, 40, 319), (2, 64, 8, 324), (8, 64, 8, 325)]"
65,1,32,128,65536,0.00390625,431.9,152.3,2.836,"[(4, 64, 56, 152), (8, 64, 56, 154), (8, 128, 64, 165), (8, 128, 56, 170), (2, 64, 56, 171), (4, 128, 64, 176), (4, 64, 64, 177), (8, 128, 72, 179), (8, 64, 64, 180), (4, 128, 56, 183)]"
65,2,32,128,65536,0.00390625,724.9,312.6,2.319,"[(8, 128, 32, 312), (4, 128, 32, 342), (8, 64, 32, 350), (4, 64, 32, 363), (8, 128, 4, 375), (8, 256, 32, 377), (4, 128, 4, 385), (8, 64, 4, 387), (2, 64, 32, 388), (2, 64, 8, 396)]"
73,1,32,128,65536,0.00390625,454.0,179.7,2.526,"[(4, 64, 56, 179), (8, 64, 56, 180), (4, 64, 64, 200), (8, 128, 64, 204), (2, 64, 64, 204), (8, 128, 56, 204), (2, 64, 16, 205), (4, 128, 64, 207), (2, 64, 56, 207), (8, 64, 64, 207)]"
73,2,32,128,65536,0.00390625,778.0,351.8,2.211,"[(8, 128, 32, 351), (8, 64, 32, 377), (4, 128, 32, 385), (4, 64, 32, 387), (8, 128, 40, 413), (4, 128, 4, 413), (8, 128, 4, 415), (2, 64, 40, 415), (2, 64, 32, 419), (4, 128, 40, 420)]"
81,1,32,128,65536,0.00390625,474.3,209.5,2.264,"[(4, 64, 56, 209), (8, 64, 56, 210), (8, 128, 56, 223), (2, 64, 56, 229), (8, 128, 48, 230), (4, 128, 64, 235), (4, 128, 56, 235), (8, 128, 64, 236), (4, 128, 48, 240), (4, 64, 64, 241)]"
89,1,32,128,65536,0.00390625,493.5,189.0,2.611,"[(4, 64, 56, 189), (8, 64, 56, 191), (8, 128, 56, 210), (4, 64, 64, 218), (8, 128, 48, 219), (2, 64, 56, 220), (8, 128, 64, 222), (8, 64, 64, 224), (4, 128, 56, 229), (2, 64, 64, 229)]"
97,1,32,128,65536,0.00390625,559.5,222.4,2.515,"[(4, 64, 56, 222), (8, 64, 56, 224), (8, 128, 56, 241), (8, 128, 48, 245), (4, 64, 64, 250), (2, 64, 56, 251), (2, 64, 64, 253), (4, 128, 56, 260), (8, 128, 64, 261), (8, 64, 64, 262)]"
105,1,32,128,65536,0.00390625,585.5,260.0,2.252,"[(4, 64, 56, 259), (8, 64, 56, 266), (2, 64, 56, 285), (2, 64, 72, 294), (4, 64, 72, 297), (8, 128, 40, 298), (4, 128, 40, 305), (8, 64, 72, 309), (4, 64, 48, 310), (8, 128, 64, 310)]"
113,1,32,128,65536,0.00390625,609.2,253.1,2.407,"[(4, 64, 56, 253), (8, 64, 56, 255), (8, 128, 56, 273), (8, 128, 48, 277), (4, 64, 64, 283), (2, 64, 56, 286), (2, 64, 64, 291), (4, 128, 56, 294), (8, 64, 64, 295), (8, 128, 64, 298)]"
121,1,32,128,65536,0.00390625,621.8,259.1,2.399,"[(4, 64, 56, 259), (8, 64, 56, 265), (8, 128, 56, 285), (8, 128, 48, 287), (4, 64, 64, 287), (2, 64, 56, 289), (8, 64, 64, 297), (8, 128, 64, 305), (8, 64, 48, 306), (4, 64, 48, 307)]"
